ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Green Tea Extract, Vitamin C, Chlorphenesin","['Green Tea Extract', 'Vitamin C']","['Chlorphenesin']","Brightening formula with mild preservative.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Methylisothiazolinone","['Jojoba Oil', 'Argan Oil']","['Methylisothiazolinone']","Nourishing oil blend with potent antimicrobial.","High","Moderate","Banned"
"Water, Aloe Vera, Glutaraldehyde","['Water', 'Aloe Vera']","['Glutaraldehyde']","Hydrating formula containing a strong crosslinking agent.","High","High","Banned"
"Cocoa Butter, Shea Butter, Propylparaben","['Cocoa Butter', 'Shea Butter']","['Propylparaben']","Moisturizing blend with a common preservative.","Moderate","Moderate","Pending"
"Water, Glycerin, Polyquaternium-10","['Water', 'Glycerin']","['Polyquaternium-10']","Lightweight formula with conditioning agent.","Low","Low","Approved"
"Organic Oat Milk, Coconut Water, Ascorbic Acid","['Organic Oat Milk', 'Coconut Water', 'Ascorbic Acid']","[]","Natural formulation enriched with vitamin C.","Low","Low","Approved"
"Aloe Vera, Vitamin E, Caprylic/Capric Triglyceride","['Aloe Vera', 'Vitamin E']","['Caprylic/Capric Triglyceride']","Soothing formula with emollient properties.","Low","Low","Approved"
"Water, Glycerin, Lauryl Glucoside","['Water', 'Glycerin']","['Lauryl Glucoside']","Gentle cleanser with natural surfactant.","Low","Low","Approved"
"Green Tea Extract, Caffeine, Piroctone Olamine","['Green Tea Extract', 'Caffeine']","['Piroctone Olamine']","Energizing formula with antifungal agent.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Disodium EDTA","['Jojoba Oil', 'Argan Oil']","['Disodium EDTA']","Nourishing oils with a chelating agent.","Low","Low","Approved"
"Hyaluronic Acid, Water, Butylene Glycol","['Hyaluronic Acid', 'Water']","['Butylene Glycol']","Hydrating formula with synthetic humectant.","Moderate","Moderate","Pending"
"Vitamin C, Green Tea Extract, Isoamyl Paraben","['Vitamin C', 'Green Tea Extract']","['Isoamyl Paraben']","Brightening blend with less common preservative.","Moderate","Moderate","Pending"
"Aloe Vera, Witch Hazel, Phenoxyethanol","['Aloe Vera', 'Witch Hazel']","['Phenoxyethanol']","Soothing formula with effective synthetic preservative.","Moderate","Moderate","Pending"
"Cocoa Butter, Shea Butter, Ammonium Laureth Sulfate","['Cocoa Butter', 'Shea Butter']","['Ammonium Laureth Sulfate']","Emollient blend with a cleansing agent.","High","Moderate","Pending"
"Water, Glycerin, Octyltriethoxysilane","['Water', 'Glycerin']","['Octyltriethoxysilane']","Lightweight hydration with a silane compound.","Low","Low","Approved"
"Hyaluronic Acid, Peptides, Disodium EDTA","['Hyaluronic Acid', 'Peptides']","['Disodium EDTA']","Anti‐aging formula with a chelating agent.","Moderate","Moderate","Pending"
"Green Tea Extract, Retinol, Benzophenone-4","['Green Tea Extract', 'Retinol']","['Benzophenone-4']","Antioxidant blend with UV filter preservative.","High","High","Banned"
"Jojoba Oil, Vitamin E, Steareth-20","['Jojoba Oil', 'Vitamin E']","['Steareth-20']","Nourishing formula with emulsifying agent.","Moderate","Moderate","Pending"
"Water, Citric Acid, Sorbic Acid","['Water', 'Citric Acid']","['Sorbic Acid']","Mild formula with natural preservative.","Low","Low","Approved"
"Aloe Vera, Vitamin C, Hexylene Glycol","['Aloe Vera', 'Vitamin C']","['Hexylene Glycol']","Brightening formula with a synthetic solvent.","Moderate","Moderate","Pending"
"Shea Butter, Cocoa Butter, Polysorbate 20","['Shea Butter', 'Cocoa Butter']","['Polysorbate 20']","Moisturizing blend with emulsifier concerns.","Moderate","Moderate","Pending"
"Water, Glycerin, PEG-40 Hydrogenated Castor Oil","['Water', 'Glycerin']","['PEG-40 Hydrogenated Castor Oil']","Effective cleanser with synthetic emulsifier.","Low","Low","Approved"
"Organic Oat Milk, Coconut Water, Niacinamide","['Organic Oat Milk', 'Coconut Water', 'Niacinamide']","[]","Natural formulation enriched with vitamin B3.","Low","Low","Approved"
"Aloe Vera, Panthenol, Sorbic Acid","['Aloe Vera', 'Panthenol']","['Sorbic Acid']","Soothing formula with natural preservative alternative.","Moderate","Moderate","Pending"
"Green Tea Extract, Caffeine, Caprylyl Glycol","['Green Tea Extract', 'Caffeine']","['Caprylyl Glycol']","Energizing formula with modern preservative.","Low","Low","Approved"
"Jojoba Oil, Argan Oil, Cyclomethicone","['Jojoba Oil', 'Argan Oil']","['Cyclomethicone']","Nourishing oil blend with volatile silicone.","Moderate","Moderate","Pending"
"Water, Hyaluronic Acid, Isopropyl Myristate","['Water', 'Hyaluronic Acid']","['Isopropyl Myristate']","Hydrating formula with synthetic emollient.","Moderate","Moderate","Pending"
"Vitamin E, Retinol, PEG-8","['Vitamin E', 'Retinol']","['PEG-8']","Anti‐aging formula with modern emollient.","Moderate","Low","Pending"
"Cocoa Butter, Shea Butter, Propylene Glycol","['Cocoa Butter', 'Shea Butter']","['Propylene Glycol']","Rich emollient blend with common humectant.","Moderate","Moderate","Pending"
"Water, Glycerin, Sodium Cocoamphoacetate","['Water', 'Glycerin']","['Sodium Cocoamphoacetate']","Mild cleansing formula with amphoteric surfactant.","Low","Moderate","Approved"
"Organic Oat Flour, Almond Oil, Caprylyl Glycol","['Organic Oat Flour', 'Almond Oil']","['Caprylyl Glycol']","Natural base with modern preservative alternative.","Moderate","High","Pending"
"Aloe Vera, Chamomile Extract, Polysorbate 80","['Aloe Vera', 'Chamomile Extract']","['Polysorbate 80']","Soothing formula with emulsifier that may cause irritation.","Low","Low","Approved"
"Water, Aloe Vera, Glycerin, Tocopherol, Phenoxyethanol","['Aloe Vera', 'Glycerin', 'Tocopherol']","['Phenoxyethanol']","This moisturizer is great for hydration, but Phenoxyethanol may cause mild irritation for sensitive skin.",Low,Moderate,"Approved"
"Organic Quinoa, Black Beans, Corn, Red Bell Pepper, Lime Juice","['Organic Quinoa', 'Black Beans', 'Corn', 'Red Bell Pepper']","['None']","A nutritious and gluten-free meal with no harmful additives.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Methylchloroisothiazolinone","['Water']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylchloroisothiazolinone']","This shampoo contains Sodium Lauryl Sulfate and Methylchloroisothiazolinone, which may cause skin irritation.",High,High,"Pending"
"Organic Almond Butter, Sea Salt","['Organic Almond Butter', 'Sea Salt']","['None']","A simple and healthy spread with no harmful ingredients.",Low,Low,"Approved"
"Water, Ethanol, Glycerin, Hydrogen Peroxide, Isopropyl Alcohol","['Glycerin', 'Hydrogen Peroxide']","['Ethanol', 'Isopropyl Alcohol']","This hand sanitizer is effective but may cause dryness due to alcohol content.",Moderate,Moderate,"Approved"
"Organic Rolled Oats, Chia Seeds, Flaxseeds, Cinnamon","['Organic Rolled Oats', 'Chia Seeds', 'Flaxseeds', 'Cinnamon']","['None']","A fiber-rich breakfast option with no harmful additives.",Low,Low,"Approved"
"Water, Retinol, Hyaluronic Acid, Parabens, Vitamin E","['Hyaluronic Acid', 'Vitamin E']","['Retinol', 'Parabens']","This anti-aging serum contains Retinol and Parabens, which may cause irritation for sensitive skin.",Moderate,High,"Pending"
"Organic Coconut Oil, Shea Butter, Essential Oils","['Organic Coconut Oil', 'Shea Butter', 'Essential Oils']","['None']","A natural moisturizer with no harmful chemicals.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Fragrance, DMDM Hydantoin","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'Fragrance', 'DMDM Hydantoin']","This body wash contains Cocamide MEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Green Tea, Lemon, Honey","['Organic Green Tea', 'Lemon', 'Honey']","['None']","A refreshing and natural beverage with no harmful additives.",Low,Low,"Approved"
"Water, Ethylhexylglycerin, Caprylyl Glycol, Phenoxyethanol, Panthenol, Allantoin, Chamomile Extract","['Panthenol', 'Allantoin', 'Chamomile Extract']","['Phenoxyethanol']","This soothing toner is ideal for sensitive skin, but Phenoxyethanol may cause mild irritation.",Low,Low,"Approved"
"Organic Chickpea Pasta, Tomato Basil Sauce, Olive Oil, Garlic, Nutritional Yeast","['Organic Chickpea Pasta', 'Tomato Basil Sauce', 'Nutritional Yeast']","['None']","A vegan-friendly meal packed with protein and B vitamins. No harmful additives.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide DEA, Sodium Chloride, Citric Acid, Tetrasodium EDTA, DMDM Hydantoin","['Water', 'Citric Acid']","['Sodium Laureth Sulfate', 'Cocamide DEA', 'DMDM Hydantoin']","This body wash contains Cocamide DEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Cold-Pressed Juice: Kale, Celery, Cucumber, Lemon, Ginger","['Kale', 'Celery', 'Cucumber', 'Lemon']","['None']","A detoxifying juice with no additives. Safe for most diets, including keto and vegan.",Low,Low,"Approved"
"Water, Aloe Vera, Chamomile Extract, Sodium Benzoate, Citric Acid","['Aloe Vera', 'Chamomile Extract']","['Sodium Benzoate', 'Citric Acid']","This facial mist is soothing but contains Sodium Benzoate, which may cause mild irritation.",Low,Moderate,"Approved"
"Organic Brown Rice, Black Beans, Avocado, Lime, Cilantro","['Organic Brown Rice', 'Black Beans', 'Avocado', 'Lime']","['None']","A healthy and balanced meal with no harmful ingredients.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Methylisothiazolinone","['Water']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylisothiazolinone']","This shampoo contains Methylisothiazolinone, which may cause allergic reactions.",High,High,"Pending"
"Organic Peanut Butter, Sea Salt","['Organic Peanut Butter', 'Sea Salt']","['None']","A natural and protein-rich spread with no harmful additives.",Low,Low,"Approved"
"Water, Ethanol, Glycerin, Hydrogen Peroxide, Benzalkonium Chloride","['Glycerin', 'Hydrogen Peroxide']","['Ethanol', 'Benzalkonium Chloride']","This hand sanitizer is effective but may cause dryness and irritation.",Moderate,Moderate,"Approved"
"Organic Steel-Cut Oats, Blueberries, Almond Milk, Maple Syrup","['Organic Steel-Cut Oats', 'Blueberries', 'Almond Milk']","['None']","A wholesome breakfast option with no harmful additives.",Low,Low,"Approved"
"Water, Retinol, Hyaluronic Acid, Parabens, Vitamin C","['Hyaluronic Acid', 'Vitamin C']","['Retinol', 'Parabens']","This anti-aging serum contains Retinol and Parabens, which may cause irritation for sensitive skin.",Moderate,High,"Pending"
"Organic Jojoba Oil, Shea Butter, Lavender Essential Oil","['Organic Jojoba Oil', 'Shea Butter', 'Lavender Essential Oil']","['None']","A natural moisturizer with no harmful chemicals.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Fragrance, Formaldehyde","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'Fragrance', 'Formaldehyde']","This body wash contains Formaldehyde, a known carcinogen.",High,High,"Banned"
"Organic Matcha Green Tea, Almond Milk, Agave Syrup","['Organic Matcha Green Tea', 'Almond Milk']","['None']","A refreshing and natural beverage with no harmful additives.",Low,Low,"Approved"
"Water, Aloe Vera, Glycerin, Tocopherol, Phenoxyethanol","['Aloe Vera', 'Glycerin', 'Tocopherol']","['Phenoxyethanol']","This moisturizer is great for hydration, but Phenoxyethanol may cause mild irritation for sensitive skin.",Low,Moderate,"Approved"
"Organic Quinoa, Black Beans, Corn, Red Bell Pepper, Lime Juice","['Organic Quinoa', 'Black Beans', 'Corn', 'Red Bell Pepper']","['None']","A nutritious and gluten-free meal with no harmful additives.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Methylchloroisothiazolinone","['Water']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylchloroisothiazolinone']","This shampoo contains Sodium Lauryl Sulfate and Methylchloroisothiazolinone, which may cause skin irritation.",High,High,"Pending"
"Organic Almond Butter, Sea Salt","['Organic Almond Butter', 'Sea Salt']","['None']","A simple and healthy spread with no harmful ingredients.",Low,Low,"Approved"
"Water, Ethanol, Glycerin, Hydrogen Peroxide, Isopropyl Alcohol","['Glycerin', 'Hydrogen Peroxide']","['Ethanol', 'Isopropyl Alcohol']","This hand sanitizer is effective but may cause dryness due to alcohol content.",Moderate,Moderate,"Approved"
"Organic Rolled Oats, Chia Seeds, Flaxseeds, Cinnamon","['Organic Rolled Oats', 'Chia Seeds', 'Flaxseeds', 'Cinnamon']","['None']","A fiber-rich breakfast option with no harmful additives.",Low,Low,"Approved"
"Water, Retinol, Hyaluronic Acid, Parabens, Vitamin E","['Hyaluronic Acid', 'Vitamin E']","['Retinol', 'Parabens']","This anti-aging serum contains Retinol and Parabens, which may cause irritation for sensitive skin.",Moderate,High,"Pending"
"Organic Coconut Oil, Shea Butter, Essential Oils","['Organic Coconut Oil', 'Shea Butter', 'Essential Oils']","['None']","A natural moisturizer with no harmful chemicals.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Fragrance, DMDM Hydantoin","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'Fragrance', 'DMDM Hydantoin']","This body wash contains Cocamide MEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Green Tea, Lemon, Honey","['Organic Green Tea', 'Lemon', 'Honey']","['None']","A refreshing and natural beverage with no harmful additives.",Low,Low,"Approved"
"Water, Ethylhexylglycerin, Caprylyl Glycol, Phenoxyethanol, Panthenol, Allantoin, Chamomile Extract","['Panthenol', 'Allantoin', 'Chamomile Extract']","['Phenoxyethanol']","This soothing toner is ideal for sensitive skin, but Phenoxyethanol may cause mild irritation.",Low,Low,"Approved"
"Organic Chickpea Pasta, Tomato Basil Sauce, Olive Oil, Garlic, Nutritional Yeast","['Organic Chickpea Pasta', 'Tomato Basil Sauce', 'Nutritional Yeast']","['None']","A vegan-friendly meal packed with protein and B vitamins. No harmful additives.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide DEA, Sodium Chloride, Citric Acid, Tetrasodium EDTA, DMDM Hydantoin","['Water', 'Citric Acid']","['Sodium Laureth Sulfate', 'Cocamide DEA', 'DMDM Hydantoin']","This body wash contains Cocamide DEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Cold-Pressed Juice: Kale, Celery, Cucumber, Lemon, Ginger","['Kale', 'Celery', 'Cucumber', 'Lemon']","['None']","A detoxifying juice with no additives. Safe for most diets, including keto and vegan.",Low,Low,"Approved"
"Water, Aloe Vera, Chamomile Extract, Sodium Benzoate, Citric Acid","['Aloe Vera', 'Chamomile Extract']","['Sodium Benzoate', 'Citric Acid']","This facial mist is soothing but contains Sodium Benzoate, which may cause mild irritation.",Low,Moderate,"Approved"
"Organic Brown Rice, Black Beans, Avocado, Lime, Cilantro","['Organic Brown Rice', 'Black Beans', 'Avocado', 'Lime']","['None']","A healthy and balanced meal with no harmful ingredients.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Methylisothiazolinone","['Water']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylisothiazolinone']","This shampoo contains Methylisothiazolinone, which may cause allergic reactions.",High,High,"Pending"
"Organic Peanut Butter, Sea Salt","['Organic Peanut Butter', 'Sea Salt']","['None']","A natural and protein-rich spread with no harmful additives.",Low,Low,"Approved"
"Water, Ethanol, Glycerin, Hydrogen Peroxide, Benzalkonium Chloride","['Glycerin', 'Hydrogen Peroxide']","['Ethanol', 'Benzalkonium Chloride']","This hand sanitizer is effective but may cause dryness and irritation.",Moderate,Moderate,"Approved"
"Organic Steel-Cut Oats, Blueberries, Almond Milk, Maple Syrup","['Organic Steel-Cut Oats', 'Blueberries', 'Almond Milk']","['None']","A wholesome breakfast option with no harmful additives.",Low,Low,"Approved"
"Water, Retinol, Hyaluronic Acid, Parabens, Vitamin C","['Hyaluronic Acid', 'Vitamin C']","['Retinol', 'Parabens']","This anti-aging serum contains Retinol and Parabens, which may cause irritation for sensitive skin.",Moderate,High,"Pending"
"Organic Jojoba Oil, Shea Butter, Lavender Essential Oil","['Organic Jojoba Oil', 'Shea Butter', 'Lavender Essential Oil']","['None']","A natural moisturizer with no harmful chemicals.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Fragrance, Formaldehyde","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'Fragrance', 'Formaldehyde']","This body wash contains Formaldehyde, a known carcinogen.",High,High,"Banned"
"Organic Matcha Green Tea, Almond Milk, Agave Syrup","['Organic Matcha Green Tea', 'Almond Milk']","['None']","A refreshing and natural beverage with no harmful additives.",Low,Low,"Approved"
"Water, Aloe Vera, Glycerin, Tocopherol, Phenoxyethanol","['Aloe Vera', 'Glycerin', 'Tocopherol']","['Phenoxyethanol']","This moisturizer is great for hydration, but Phenoxyethanol may cause mild irritation for sensitive skin.",Low,Moderate,"Approved"
"Organic Quinoa, Black Beans, Corn, Red Bell Pepper, Lime Juice","['Organic Quinoa', 'Black Beans', 'Corn', 'Red Bell Pepper']","['None']","A nutritious and gluten-free meal with no harmful additives.",Low,Low,"Approved"
"Water, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Fragrance, Methylchloroisothiazolinone","['Water']","['Sodium Lauryl Sulfate', 'Fragrance', 'Methylchloroisothiazolinone']","This shampoo contains Sodium Lauryl Sulfate and Methylchloroisothiazolinone, which may cause skin irritation.",High,High,"Pending"
"Organic Almond Butter, Sea Salt","['Organic Almond Butter', 'Sea Salt']","['None']","A simple and healthy spread with no harmful ingredients.",Low,Low,"Approved"
"Water, Ethanol, Glycerin, Hydrogen Peroxide, Isopropyl Alcohol","['Glycerin', 'Hydrogen Peroxide']","['Ethanol', 'Isopropyl Alcohol']","This hand sanitizer is effective but may cause dryness due to alcohol content.",Moderate,Moderate,"Approved"
"Organic Rolled Oats, Chia Seeds, Flaxseeds, Cinnamon","['Organic Rolled Oats', 'Chia Seeds', 'Flaxseeds', 'Cinnamon']","['None']","A fiber-rich breakfast option with no harmful additives.",Low,Low,"Approved"
"Water, Retinol, Hyaluronic Acid, Parabens, Vitamin E","['Hyaluronic Acid', 'Vitamin E']","['Retinol', 'Parabens']","This anti-aging serum contains Retinol and Parabens, which may cause irritation for sensitive skin.",Moderate,High,"Pending"
"Organic Coconut Oil, Shea Butter, Essential Oils","['Organic Coconut Oil', 'Shea Butter', 'Essential Oils']","['None']","A natural moisturizer with no harmful chemicals.",Low,Low,"Approved"
"Water, Sodium Laureth Sulfate, Cocamide MEA, Fragrance, DMDM Hydantoin","['Water']","['Sodium Laureth Sulfate', 'Cocamide MEA', 'Fragrance', 'DMDM Hydantoin']","This body wash contains Cocamide MEA, a potential carcinogen, and DMDM Hydantoin, a formaldehyde releaser.",High,High,"Banned"
"Organic Green Tea, Lemon, Honey","['Organic Green Tea', 'Lemon', 'Honey']","['None']","A refreshing and natural beverage with no harmful additives.",Low,Low,"Approved"
"Water, Ethylhexylglycerin, Caprylyl Glycol, Phenoxyethanol, Panthenol, Allantoin, Chamomile Extract","['Panthenol', 'Allantoin', 'Chamomile Extract']","['Phenoxyethanol']","This soothing toner is ideal for sensitive skin, but Phenoxyethanol may cause mild irritation.",Low,Low,"Approved"
"Water, Glycerin, Sodium Laureth Sulfate","['Water', 'Glycerin']","['Sodium Laureth Sulfate']","Standard cleanser; may cause mild irritation for sensitive skin.","Moderate","Moderate","Approved"
"Water, Aloe Vera, Parabens","['Water', 'Aloe Vera']","['Parabens']","Soothing formula but contains a controversial preservative.","Moderate","Moderate","Pending"
"Aloe Vera, Chamomile Extract, Formaldehyde","['Aloe Vera', 'Chamomile Extract']","['Formaldehyde']","Herbal blend compromised by a banned preservative; high irritation risk.","High","High","Banned"
"Water, Glycerin, Artificial Colors","['Water', 'Glycerin']","['Artificial Colors']","Common formulation with synthetic dyes; low risk for most users.","Low","Low","Approved"
"Hyaluronic Acid, Water, Parabens","['Hyaluronic Acid', 'Water']","['Parabens']","Hydrating serum with a preservative; caution advised for sensitive skin.","Moderate","Moderate","Pending"
"Cocoa Butter, Shea Butter, Synthetic Fragrance","['Cocoa Butter', 'Shea Butter']","['Synthetic Fragrance']","Rich moisturizer with an artificial scent; may irritate fragrance-sensitive users.","Moderate","Moderate","Pending"
"Green Tea Extract, Vitamin E, Methylparaben","['Green Tea Extract', 'Vitamin E']","['Methylparaben']","Antioxidant formula with a common preservative; generally safe.","Moderate","Low","Pending"
"Jojoba Oil, Aloe Vera, Benzoyl Peroxide","['Jojoba Oil', 'Aloe Vera']","['Benzoyl Peroxide']","Acne treatment; effective but can cause dryness.","High","Moderate","Pending"
"Tea Tree Oil, Witch Hazel, Sodium Laureth Sulfate","['Tea Tree Oil', 'Witch Hazel']","['Sodium Laureth Sulfate']","Antiseptic blend with a detergent; potential irritation risk.","Moderate","Moderate","Pending"
"Argan Oil, Vitamin C, Dimethicone","['Argan Oil', 'Vitamin C', 'Dimethicone']","[]","Nourishing serum with silicone for texture; very low risk.","Low","Low","Approved"
"Rose Water, Glycerin, Synthetic Dye","['Rose Water', 'Glycerin']","['Synthetic Dye']","Fragrant formula with artificial color; minimal risk overall.","Low","Low","Approved"
"Honey, Almond Oil, Propylparaben","['Honey', 'Almond Oil']","['Propylparaben']","Natural blend with a synthetic preservative; moderate caution advised.","Moderate","High","Pending"
"Cucumber Extract, Panthenol, Fragrance","['Cucumber Extract', 'Panthenol']","['Fragrance']","Cooling formulation with potential allergen from added scent.","Low","Moderate","Approved"
"Allantoin, Sodium Hyaluronate, Preservative X","['Allantoin', 'Sodium Hyaluronate']","['Preservative X']","Soothing formula with an unidentified preservative; risk unclear.","Moderate","Low","Pending"
"Ceramides, Peptides, Formaldehyde","['Ceramides', 'Peptides']","['Formaldehyde']","Skin repair formula compromised by a banned substance; high risk.","High","High","Banned"
"Squalane, Niacinamide, Parabens","['Squalane', 'Niacinamide']","['Parabens']","Effective anti-aging blend with preservative concerns; use with care.","Moderate","Moderate","Pending"
"Water, Salicylic Acid, Ethoxydiglycol","['Water']","['Salicylic Acid', 'Ethoxydiglycol']","Exfoliating cleanser with active acids; may cause irritation.","Moderate","Moderate","Pending"
"Citric Acid, Lavender Oil, Chlorphenesin","['Citric Acid', 'Lavender Oil']","['Chlorphenesin']","Mild acidic formula with a preservative that may irritate.","Moderate","Moderate","Approved"
"Vitamin E, Retinol, BHT","['Vitamin E', 'Retinol']","['BHT']","Anti-aging formula with a synthetic antioxidant; caution advised.","Moderate","Moderate","Pending"
"Rice Bran Oil, Licorice Extract, Synthetic Colorant","['Rice Bran Oil', 'Licorice Extract']","['Synthetic Colorant']","Brightening formula with an artificial dye; low risk overall.","Low","Low","Approved"
"Cocoa Butter, Vitamin C, Fragrance","['Cocoa Butter', 'Vitamin C']","['Fragrance']","Moisturizing blend with a scent that may trigger allergies.","Moderate","Moderate","Pending"
"Shea Butter, Green Tea Extract, Sodium Benzoate","['Shea Butter', 'Green Tea Extract']","['Sodium Benzoate']","Natural base with a common preservative; mild irritation possible.","Moderate","Low","Pending"
"Coconut Oil, Jojoba Oil, Methylisothiazolinone","['Coconut Oil', 'Jojoba Oil']","['Methylisothiazolinone']","Nourishing oils with a high-risk preservative; potential severe reaction.","High","Moderate","Banned"
"Water, Dimethicone, Parabens","['Water', 'Dimethicone']","['Parabens']","Silicone-based formula with a controversial preservative; caution advised.","Moderate","Low","Pending"
"Aloe Vera, Ginseng Extract, Formaldehyde","['Aloe Vera', 'Ginseng Extract']","['Formaldehyde']","Herbal extract compromised by a banned chemical; high risk.","High","High","Banned"
"Argan Oil, Collagen, Synthetic Fragrance","['Argan Oil', 'Collagen']","['Synthetic Fragrance']","Skin strengthening blend with an artificial scent; moderate caution.","Moderate","Moderate","Pending"
"Water, Vitamin C, Propylparaben","['Water', 'Vitamin C']","['Propylparaben']","Brightening solution with a common preservative; generally safe.","Moderate","Moderate","Pending"
"Hyaluronic Acid, Peptides, Sodium Laureth Sulfate","['Hyaluronic Acid', 'Peptides']","['Sodium Laureth Sulfate']","Anti-aging serum containing an irritant; use with care.","High","Moderate","Pending"
"Cucumber Extract, Witch Hazel, Ethoxydiglycol","['Cucumber Extract', 'Witch Hazel']","['Ethoxydiglycol']","Refreshing formula with a synthetic solvent; low risk overall.","Moderate","Low","Approved"
"Green Tea Extract, Honey, Benzalkonium Chloride","['Green Tea Extract', 'Honey']","['Benzalkonium Chloride']","Antioxidant-rich formula with an antimicrobial agent; potential irritation.","Moderate","Moderate","Pending"
"Water, Allantoin, Methylparaben","['Water', 'Allantoin']","['Methylparaben']","Soothing solution with a standard preservative; mild risk.","Moderate","Low","Pending"
"Organic Oat Milk, Coconut Water, Citric Acid","['Organic Oat Milk', 'Coconut Water', 'Citric Acid']","[]","Natural, gentle formulation with no synthetic additives; very low risk.","Low","Low","Approved"
"Vitamin E, Retinol, Parabens","['Vitamin E', 'Retinol']","['Parabens']","Potent anti-aging formula with a common preservative; monitor usage.","Moderate","Moderate","Pending"
"Shea Butter, Cocoa Butter, Artificial Color","['Shea Butter', 'Cocoa Butter']","['Artificial Color']","Moisturizing blend with an added synthetic dye; low risk for most.","Moderate","Low","Approved"
"Water, Glycerin, Benzoyl Peroxide","['Water', 'Glycerin']","['Benzoyl Peroxide']","Acne treatment formula; effective yet may dry the skin.","High","Moderate","Pending"
"Jojoba Oil, Lavender Oil, Parabens","['Jojoba Oil', 'Lavender Oil']","['Parabens']","Aromatic blend containing a preservative; moderate sensitivity risk.","Moderate","Moderate","Pending"
"Aloe Vera, Chamomile Extract, Synthetic Fragrance","['Aloe Vera', 'Chamomile Extract']","['Synthetic Fragrance']","Calming formula with an artificial scent; low to moderate risk.","Moderate","Moderate","Approved"
"Vitamin C, Green Tea Extract, Dimethicone","['Vitamin C', 'Green Tea Extract', 'Dimethicone']","[]","Brightening serum with silicone for texture; very low risk.","Low","Low","Approved"
"Retinol, Niacinamide, Parabens","['Retinol', 'Niacinamide']","['Parabens']","Anti-aging blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Peptides, Ceramides, Formaldehyde","['Peptides', 'Ceramides']","['Formaldehyde']","Skin repair formula compromised by a banned ingredient; high risk.","High","High","Banned"
"Cocoa Butter, Shea Butter, Methylparaben","['Cocoa Butter', 'Shea Butter']","['Methylparaben']","Rich emollient blend with a standard preservative; moderate caution advised.","Moderate","Moderate","Pending"
"Water, Aloe Vera, Phenoxyethanol","['Water', 'Aloe Vera']","['Phenoxyethanol']","Hydrating formula with a synthetic preservative; generally safe.","Moderate","Low","Approved"
"Green Tea Extract, Caffeine, Synthetic Dye","['Green Tea Extract', 'Caffeine']","['Synthetic Dye']","Energizing formula with artificial coloring; low risk overall.","Low","Low","Approved"
"Jojoba Oil, Argan Oil, Parabens","['Jojoba Oil', 'Argan Oil']","['Parabens']","Nourishing oil blend with a common preservative; moderate caution advised.","Moderate","Moderate","Pending"
"Water, Salicylic Acid, Lactic Acid","['Water']","['Salicylic Acid', 'Lactic Acid']","Exfoliating acid blend; effective but may irritate sensitive skin.","High","Moderate","Pending"
"Vitamin E, Coenzyme Q10, Benzalkonium Chloride","['Vitamin E', 'Coenzyme Q10']","['Benzalkonium Chloride']","Antioxidant-rich formula with an antimicrobial agent; moderate risk.","Moderate","Low","Approved"
"Cetearyl Alcohol, Dimethicone, Methylparaben","['Cetearyl Alcohol', 'Dimethicone']","['Methylparaben']","Stabilizing cream with a standard preservative; low irritation risk.","Moderate","Low","Pending"
"Aloe Vera, Panthenol, Chlorphenesin","['Aloe Vera', 'Panthenol']","['Chlorphenesin']","Soothing formula with a mild preservative; generally safe.","Moderate","Moderate","Approved"
